item_no,item_title,source_pages,source_pdf,test_item,materials,method,domain,domain_code,standard,score_options,ocr_status
130,（130）能回答自己的性别,42,PEP-3使用册(1).pdf,（130）能回答自己的性别,无,"在测试期间，并在第（129）项之后，
测试员向儿童提问：「你系男仔定系
女仔？」（你是男孩子还是女孩子？）
*若答案像是鹦鹉式地重复测试问题
的最后几个字，可再问儿童，「你系
女仔定系男仔？」（你是女孩子还是男
孩子？）水",语言表达,EL,"2- 正确地说出自己的性别
1- 错误地说出性别；或答案是鹦鹉式地重复测
试问题的最后几个字
0-对问题没有反应",2/1/0,OCR草稿，需人工校对
131,（131）明白3个动词并示范动作,42,PEP-3使用册(1).pdf,（131）明白3个动词并示范动作,无,"在测试期间，测试员先吸引儿童的注
意，并说：「我讲咩你就做啦，做俾
我睇。」（跟着我的说话做动作。），
当说出以下每个指令时便提示儿童做
动作：
1. 跳（跳起来）
2. 坐下（坐下来）
3. 企起身（站起来）",语言理解,RL,"2- 能执行3个动作
1- 能执行1-2个动作
0- 没有执行任何动作",2/1/0,OCR草稿，需人工校对
132,（132）正确运用代名词,42,PEP-3使用册(1).pdf,（132）正确运用代名词,无,"观察：
- 儿童是否不正确地使用代名词？如
有的话，是属发展中的正常问题还
是对使用代名词有所混淆？",语言表达,EL,"2- 正确地运用代名词
1- 偶然会把「你」、「我」混淆，或以自己的名字
来代替使用「我」
0- 经常会混淆代名词及不明白代名词「你」、
「我」的意思",2/1/0,OCR草稿，需人工校对
133,（133）回答3句问句,43,PEP-3使用册(1).pdf,（133）回答3句问句,狦,"在测试期间，儿童能否回答问句（何
人、何事、何地、何时），例如：
-*何人
（如：「边个同你玩？」）
（谁与你玩耍？）
何事
（如：「你肚饿时会做乜？」，
「你口渴时会做乜？」）
（当你肚子饿时，你会做甚
么？）
（当你口渴时，你会做甚
么？）
何地
（如：「你去边度买嘢食呀？J）
（你到哪里买食物？）
何时
（如：「你几时做XX呀？）
（你在甚么时候做XX？）*",语言理解,RL,"2- 明白及回答3句问句
1- 回答2句问句
0- 没有回答任何问句",2/1/0,OCR草稿，需人工校对
134,（134） 遵从3个简单的动作指令,43,PEP-3使用册(1).pdf,（134） 遵从3个简单的动作指令,无,"测试员在测试期间，不要用手势提
示，对儿童说：「坐下」、「起身」、
「过嚟」、「俾我」、「放低手」及「开
门」（坐下、站起来、走过来、给我、
把手放下、开门）。测试员亦可选择
其他有意义的1个步骤的动作指令。","认知
（语言/语前）",CVP,"2- 能遵从最少3项的动作指令
1- 能遵从1-2项的动作指令
0- 不能遵从任何动作指令",2/1/0,OCR草稿，需人工校对
135,（135）使用视觉讯息,43,PEP-3使用册(1).pdf,（135）使用视觉讯息,无,"观察：
- 儿童是否能恰当地使用视觉讯息？","行为特征
-非语言",CMB,"2- 使用视觉讯息较其他媒介有更恰当的反应
1- 不是很专心看东西，但对视觉刺激物会重复
检视
0- 对视觉刺激物没有反应或只进行自我视觉刺
激行为",2/1/0,OCR草稿，需人工校对
136,（136） 单独玩要时能恰当地使用空间 及材料,44,PEP-3使用册(1).pdf,"（136） 单独玩要时能恰当地使用空间
及材料",无,"观察：
- 儿童单独玩耍是否有困难？
儿童是否没有组织地玩耍或沉迷于
刻板而重复的行为？
儿童是否表现得过分活跃，或对外
界抽离而任何事也不做？
儿童是否对巡视房间周围环境及玩
弄测试材料缺乏兴趣？
当测试员对空间及材料的使用没有
作出安排时，儿童是否会沉醉在古
怪的自我刺激行为中？","行为特征
-非语言",CMB,"2- 能适当地单独玩耍，儿童利用空间及材料的
方式，皆合符儿童的实际年龄应有的表现
1- 有点儿不适当地玩耍；或对玩耍没有兴趣
0-不适当地玩耍，变得十分活跃、烦躁不安或
伤感、沉醉于自我刺激的行为中，或不恰当
地使用材料",2/1/0,OCR草稿，需人工校对
137,（137）恰当地探索测试房间的环境,44,PEP-3使用册(1).pdf,（137）恰当地探索测试房间的环境,无,"观察：
一 儿童如何探索测试房间的环境？","行为特征
-非语言",CMB,"2- 适当地探索周围环境
1-长时间、不寻常地表现得不安定；或毫无兴
趣去探索环境
0- 以过分重复或夸张的形式去探索环境。行为
不寻常，包括重复而持续地爬行，前后踱步
或四处触摸",2/1/0,OCR草稿，需人工校对
138,（138）恰当地对声音作出反应,44,PEP-3使用册(1).pdf,（138）恰当地对声音作出反应,无,"观察：
- 儿童对手摇铃的声音是否有不寻常
的反应？
- 儿童是否十分容易受外界声音影响
而分心？
- 儿童是否对声音没有反应？","行为特征
-非语言",CMB,"2- 对不同声音作出适当的反应
1- 有时会受声音影响而分心：或有时会对声音
没有反应
0- 对测试员的声音反应不恰当，很容易受其他
声音骚扰：或对外来声音过于敏感/无反应",2/1/0,OCR草稿，需人工校对
139,（139）恰当地探索不同质感,44,PEP-3使用册(1).pdf,（139）恰当地探索不同质感,无,"观察：
- 儿童对不同质感的物件有怎样的反
应？
- 儿童对某类质地或物件表面是否表
现出过分感兴趣？","行为特征
-非语言",CMB,"2- 对质感有正常的兴趣
1- 过度喜欢或拒绝触摸不同质感的物件，但可
让测试员干预其行为
0- 对质感有过度或怪异的兴趣。不寻常的行为
包括将物件的表面不断摩擦自己的面部，持
续或重复地去触碰有质感的物件（触觉块、手
偶）：或强烈地拒绝触碰某些物件",2/1/0,OCR草稿，需人工校对
140,（140）怡当地使用味觉,44,PEP-3使用册(1).pdf,（140）怡当地使用味觉,无,"观察：
- 儿童是否不恰当地去尝、咬或舔材
料？","行为特征
-非语言",CMB,"2- 没有不恰当地尝、咬或舔材料的行为
1- 较同龄儿童较多尝、咬或舔物件的行为
0- 有不恰当地尝、咬或舔物件的行为",2/1/0,OCR草稿，需人工校对
141,（141） 对嗅觉有恰当的兴趣,45,PEP-3使用册(1).pdf,（141） 对嗅觉有恰当的兴趣,无,"观察：
- 儿童是否不恰当地去嗅物件或材
料？","行为特征
-非语言",CMB,"2- 儿童对于使用嗅觉的兴趣，属于正常的范围
1- 儿童对于使用嗅觉的兴趣，有轻度的沉迷
0-对材料、物件或双手的气味，表现出过度的
兴趣",2/1/0,OCR草稿，需人工校对
142,（142）完成大部分适龄的测试项目,45,PEP-3使用册(1).pdf,（142）完成大部分适龄的测试项目,无,"观察：
- 儿童在进行模仿、需完成指定工作
的项目及语言项目时，是否会表现
出混乱而不知所措？","行为特征
-非语言",CMB,"2- 有组织地进行各项测试，儿童的表现与其年
龄相符
1- 所表现的组织能力并不一致，常需要测试员
的协助及提示
0- 不清楚测试项目的要求或测试项目何时完
结，或不能有逻辑地进行各项步骤；或表现
出短暂的专注力，及反复或不寻常的行为（例
如：由桌子上跳下、发出怪声、古怪面部表
情、拍双手、自转）",2/1/0,OCR草稿，需人工校对
143,（143） 能使用语言或手势求助,45,PEP-3使用册(1).pdf,（143） 能使用语言或手势求助,无,"观察：
- 在测试期间，儿童会否用手势或语
言向测试员求助？",语言表达,EL,"2- 能用语言或手势求助
1- 望向测试员但没有作出清晰的手势示意求
助：或需要测试员提示才能传达需要
0- 没有尝试求助",2/1/0,OCR草稿，需人工校对
144,（144）没有不怡当地重复刚听到的字,45,PEP-3使用册(1).pdf,"（144）没有不怡当地重复刚听到的字
词或片语",无,"观察：
- 儿童是否不恰当地重复刚听到的字
词或片语？","行为特征
-语言",CVB,"（若儿童未能使用口语，此项评为NA）
2- 除非在适合的情况，否则儿童不会重复刚听
到的字词或片语
1- 偶然会不恰当地重复刚听到的字词或片语
0- 经常不恰当地重复刚听到的字词或片语",2/1/0,OCR草稿，需人工校对
145,（145）没有持续地重复某些字词或声音,45,PEP-3使用册(1).pdf,（145）没有持续地重复某些字词或声音,无,"观察：
- 儿童会否不断重复某些字词或发出
同样的声音？","行为特征
-语言",CVB,"（若儿童未能使用口语，此项评为NA）
2- 不会持续地重复某些字词或声音
1- 偶然会持续地重复某些字词或声音
0- 经常会持续地重复某些字词或声音",2/1/0,OCR草稿，需人工校对
146,（146） 表现恰当的说话语调、声量和,45,PEP-3使用册(1).pdf,"（146） 表现恰当的说话语调、声量和
速度",无,"观察：
- 儿童的说话方式（即语调、声量及
说话速度等）是否不寻常？","行为特征
-语言",CVB,"（若儿童未能使用口语，此项评为NA）
2- 儿童的语调有适当的变化，说话的声量及速
度均属正常
1- 儿童的语调缺乏变化，说话的声量及速度太
快、太慢或时快时慢
0- 儿童的语调、声量及速度明显地表现异常，
即说话时的语调怪异、平板、机械化或如唱
歌般唱出来：音调过高或声线沙哑",2/1/0,OCR草稿，需人工校对
147,（147）没有无意义的声音（玩声）,46,PEP-3使用册(1).pdf,（147）没有无意义的声音（玩声）,无,"观察：
- 儿童有否重复发出无意义或无法让
人理解的声音？","行为特征
-语言",CVB,"（若儿童未能使用口语，此项评为NA）
2- 没有无意义的玩声
1-即使年龄已超过一岁半，仍偶然发出无意义
的玩声
0-即使年龄已超过一岁半，仍经常发出无意义
的玩声",2/1/0,OCR草稿，需人工校对
148,（148）使用与其年龄相符的词汇沟通,46,PEP-3使用册(1).pdf,（148）使用与其年龄相符的词汇沟通,无,"观察：
- 儿童会否使用无意义的说话？","行为特征
-语言",CVB,"（若儿童的实际年龄低于1½岁；或未能使用口
语，此项评为NA）
2- 儿童能运用与其年龄相符的词汇，并符合当
时说话的情境，与人有效地以口语沟通
1- 虽然间中能运用恰当的语句，但词汇运用与
同龄者相比较弱
0- 语句运用得不恰当，说话并不能有效地表达
需要；或未能运用语句作沟通。说话可能含
一些异常的语句，例如：刻板地重复电视节
目中的语句或歌曲，或持续地以不恰当的词
汇去形容物件或环境",2/1/0,OCR草稿，需人工校对
149,（149）没有说奇异语句与自创语,46,PEP-3使用册(1).pdf,（149）没有说奇异语句与自创语,无,"观察：
- 儿童是否经常只说自创语（即无意
义且含糊不清的语句）或怪僻语句
（该儿童独有的异常言语）？","行为特征
-语言",CVB,"（若儿童的实际年龄低于1½岁；或未能使用口
语，此项评为NA）
2- 儿童能运用符合当时环境的词汇和语句
1- 虽然有沟通性的语言，但偶然会用无意义的
词汇或说话
0- 经常使用自创语或怪僻语句，一些自创用法
的语句（例如：儿童用「熄灯」代替说「你要
走」）",2/1/0,OCR草稿，需人工校对
150,（150）与年龄相符的发音能力,46,PEP-3使用册(1).pdf,（150）与年龄相符的发音能力,无,"观察：
- 儿童的发音是否正确，说话是否清
晰？","行为特征
-语言",CVB,"（若儿童的实际年龄低于2岁；或未能使用口语，
此项评为NA）
2- 儿童的发音清晰，容易被人理解
1- 因发音含糊不准确，以致说话不清，儿童的
话有时较鸡理解
0-因发音不正确及说话不清晰，以致难以理解",2/1/0,OCR草稿，需人工校对
151,（151）与年龄相符的自发性沟通,47,PEP-3使用册(1).pdf,（151）与年龄相符的自发性沟通,无,"观察：
- 儿童说话的内容是否实用及切合情
况？
- 儿童是否未能或不愿提问或回答问
题？
- 儿童说话的内容是否缺乏变化或自
发性？
- 儿童是否完全欠缺自发性的说话？","行为特征
-语言",CVB,"2- 能使用多种有效及自发性的说话来传达意念
或提问
1- 表现羞怯，甚少自发地或双向地沟通，但在
鼓励下可作出有限度的反应
0-完全没有任何自发性的、有效的或合适的沟
通；或不恰当及沉迷地说某一话题",2/1/0,OCR草稿，需人工校对
152,（152）与测试员主动沟通,47,PEP-3使用册(1).pdf,（152）与测试员主动沟通,无,"观察：
- 儿童在测试期间有否和测试员主动
沟通？","行为特征
-语言",CVB,"2- 能主动沟通
1- 在没有提示下很少能沟通
0-在提示下也未能沟通",2/1/0,OCR草稿，需人工校对
153,（153）与测试员持续对话,47,PEP-3使用册(1).pdf,（153）与测试员持续对话,无,"观察：
- 儿童在测试期间能否与测试员维持
来回多过一次的对话（即测试员和
儿童能一来一往的轮流对话）","行为特征
-语言",CVB,"2- 能持续来回多过一次的对话
1-能回应测试员，但不能开展对话
0- 没有回应测试员的说话",2/1/0,OCR草稿，需人工校对
154,（154） 与测试员合作,47,PEP-3使用册(1).pdf,（154） 与测试员合作,无,"观察：
- 儿童是否未能对测试员的要求作出
合作的表现？
当儿童不明白或未能做到测试员的
要求时，能否作出明确的表示？",社交互动,SR,"2- 除非该儿童未能明白或未有能力做到测试员
的要求，否则儿童均能遵从测试员的要求及
尝试与测试员合作。当项目太困难或不清楚
时，儿童会作出明确表示
1- 中度的反抗：或儿童的合作表现显得古怪或
反复
0- 过分反抗；或儿童的合作表现显得古或反
覆，极少尝试与测试员合作",2/1/0,OCR草稿，需人工校对
155,（155） 语句组织能力,47,PEP-3使用册(1).pdf,（155） 语句组织能力,无,"观察：
— 在儿童使用的片语或句子中，字词
的次序是否经常出现混乱？",语言表达,EL,"2- 能将所用的字词以正确的次序组织语句：即
使出现混淆，儿童所犯的错误与其他同龄儿
童的相符
1- 间中会混淆字词的次序；所发生错误的次数
较其同龄儿童为多
0- 经常混淆字词的次序，所发生错误的次数较
其他同龄儿童明显多；*或未能使用双词或
以上的语句*",2/1/0,OCR草稿，需人工校对
156,（156） 用面部表情表达情感,48,PEP-3使用册(1).pdf,（156） 用面部表情表达情感,无,"观察：
- 在测试过程中，儿童是否能用面部
表情清晰地表达情感？",情感表达,AE,"2- 能使用面部表情清晰地表达情感（开心、不开
心、惊恐、伤心）
1- 面部表情很少转变，但面部表情大致能配合
其情感
0- 面部表情没有转变：或不与他人沟通",2/1/0,OCR草稿，需人工校对
157,（157）用身体语言表达情感,48,PEP-3使用册(1).pdf,（157）用身体语言表达情感,无,"观察：
- 在测试过程中，儿童有否透过身体
语言/ 姿势表达情感？",情感表达,AE,"2-能有意思地运用身体语言/姿势与他人沟通
1-很少有意思地运用身体语言/姿势与他人沟通
0- 会转换身体姿势，但没有传达出明显沟通的
意思",2/1/0,OCR草稿，需人工校对
158,（158）情绪表达,48,PEP-3使用册(1).pdf,（158）情绪表达,无,"观察：
- 在测试过程中，儿童有否表达他/
她的情绪？",情感表达,AE,"2- 儿童所表达的情绪与环境相符
1- 能表达少许情绪，但整体上表现较害羞及需
要他人鼓励才表达
0- 没有表达恰当的情绪",2/1/0,OCR草稿，需人工校对
159,（159） 恰当的情感,48,PEP-3使用册(1).pdf,（159） 恰当的情感,无,"观察：
- 儿童的情感表现有何特质？
- 儿童是否缺乏符合其年龄的情感反
应？
- 儿童与测试员交往是否不恰当？",情感表达,AE,"2- 在整个测试期间，儿童对测试员及测试材料
有适当的情感表达和反应
1- 儿童有轻微不恰当的情感反应；或有限的情
感变化
0-儿童在整个测试期间，大部分时间均表现出
不恰当的情感反应。（不寻常的行为包括刻板
或缺乏变化的面部表情、过度幼稚或傻笑，
无原因而急促地改爱面部表情、面部肌肉抽
动，或对测试员缺乏任何情感反应）",2/1/0,OCR草稿，需人工校对
160,（160） 恐惧的反应,48,PEP-3使用册(1).pdf,（160） 恐惧的反应,无,"观察：
- 儿童是否在恐惧的情况下有不恰当
的反应？
- 在应有恐惧表现的情况下，儿童是
否缺乏应有的表现？
- 儿童对恐惧的反应是否过分或不
当？
- 儿童与亲人分离时的反应如何？",情感表达,AE,"评注：对于年幼之儿童，有很多事情也会引起正
常的恐惧及焦虑。评分时，可考虑某些性
格特质所引致的正常反应，例如：盖怯；
及明白部分儿童会较其他儿童有较多与人
分离的经验
2- 表现出适龄的恐惧反应，而且容易被安抚
1-表现出多于同龄儿童的惊恐反应
0- 对应恐惧的情况无所畏惧；或表现出过分恐
惧，及很难在安抚下平静下来",2/1/0,OCR草稿，需人工校对
161,（161）合乎年龄的专注力,49,PEP-3使用册(1).pdf,（161）合乎年龄的专注力,无,"观察：
- 儿童对测试员、测试材料及测试项
目的专注力是否与其实际年龄不相
符？
- 当测试员尝试改善儿童的专注力
时，儿童是否会表现出异常的挫败
感？",情感表达,AE,"2- 儿童的专注能力属正常范围（注意：年幼儿童
的专注力会较年长的儿童为弱）
1- 专注能力有限，与年纪较小的儿童的特性相
似
0-专注能力太弱，未能与测试员合作或完成简
单的项目：儿童的注意力容易被分散；或当
被要求专注或项目需要集中注意力时，表现
出过分的挫败感",2/1/0,OCR草稿，需人工校对
162,（162）从容地转换活动,49,PEP-3使用册(1).pdf,（162）从容地转换活动,无,"观察：
- 当测试员拿走儿童感兴趣之测试材
料或转换活动时，儿童会有怎样的
反应？
一儿童是否有异常的挫败感及困扰？","行为特征
-非语言",CMB,"2- 能忍受测试员转换活动，且在喜爱的物件被
拿走时，不会表现出特别困扰
1- 虽然儿童在转换活动或物件被拿走时表现得
有困难，但仍可接纳
0- 不能忍受转变或干扰，对干扰的反应可能是
大哭、大叫、扑拍双手，面容歪扭、发脾气
或撞头等等",2/1/0,OCR草稿，需人工校对
163,（163）自我改正,49,PEP-3使用册(1).pdf,（163）自我改正,无,"观察：
- 儿童是否能自发地透过「尝试一错
误法」去解决困难？
- 在测试员鼓励下儿童能否尝试改正
错误？",情感表达,AE,"2- 能自发地用「尝试一错误法」达至某程度之成
功
1- 需测试员提示下才能成功地作出一些改正
0- 没有尝试去改正错误",2/1/0,OCR草稿，需人工校对
164,（164）活动持久性,49,PEP-3使用册(1).pdf,（164）活动持久性,无,"观察：
- 儿童是否缺乏能力、动机或正常兴
趣完成适龄活动？",情感表达,AE,"2- 儿童对能成功完成活动表现持续的动机；对
符合其发展年龄的活动有适当的兴趣
1- 儿童只会间中或有限地对于成功完成活动表
现有兴趣
0- 对完成项目不感兴趣：或对成功的表现缺乏
满足感",2/1/0,OCR草稿，需人工校对
165,（165） 分享兴趣,49,PEP-3使用册(1).pdf,（165） 分享兴趣,无,"观察：
- 儿童会否把测试员的注意转移至自
己有兴趣的东西或自己的能力上？",情感表达,AE,"2- 能常常向测试员展示自己有兴趣的东西和自
己能做到的事
1- 能常常展示出自己喜欢的东西或能力，但没
有理会别人的反应
0- 只能自己重复某些活动而忽略所有其他活动",2/1/0,OCR草稿，需人工校对
166,（166） 保持眼神接触,50,PEP-3使用册(1).pdf,（166） 保持眼神接触,无,"观察：
- 儿童有否逃避与测试员的眼神接
触？",社交互动,SR,"2- 有足够的眼神接触
1- 当儿童有兴趣交往时，眼神接触也是短暂及
不稳定的
0- 持续或过分逃避与测试员眼神接触",2/1/0,OCR草稿，需人工校对
167,（167）对测试员的声音有反应,50,PEP-3使用册(1).pdf,（167）对测试员的声音有反应,无,"观察：
- 在测试过程中，儿童能否对测试员
的声音作出反应？
- 儿童是否能在测试员呼唤下作出适
当的回应？",社交互动,SR,"2- 对测试员的声音作出适当的（口语或非口语）
反应（例如：眨眼、转头望向测试员、回答测
试员「好」、或返回座位等等）
1- 对测试员的声音回应不稳定，间中会留意测
试员的声音，或相隔一段时间才回应
0-未能对测试员的声音作出适当的反应，包括
未能以口语/非口语表达其听到测试员的声音",2/1/0,OCR草稿，需人工校对
168,（168）向测试员求助,50,PEP-3使用册(1).pdf,（168）向测试员求助,无,"观察：
- 儿童是否未能或拒绝就测试项目及
个人需要（系鞋带、索取饮品、要
求物品、如厕等）用语言或手势求
助？
- 根据儿童的年龄，儿童是否在这些
事情上要求过多的协助？",社交互动,SR,"2- 适当地以说话或手势提出要求
1- 即使在有需要时，甚少以说话或手势提出要
求；或间接以手势求助
0- 从不以说话或手势求助；或过多的求助",2/1/0,OCR草稿，需人工校对
169,（169） 动作及动静,50,PEP-3使用册(1).pdf,（169） 动作及动静,无,"观察：
- 在进行结构性的活动及非结构性的
活动时，儿童如何运用自己的身
体？","行为特征
-非语言",CMB,"2- 虽然儿童可能会有轻微的动作协调问题，但
无异、重复性的特异动作或刻板行为
1- 有时有轻微的异身体动作
0- 经常或过多地表现怪异的身体动作，如异常
的重复性动作（自转、摇摆）、将手指或身体
扭曲成特定姿势、用脚尖走路或做出自我伤
害行为",2/1/0,OCR草稿，需人工校对
170,（170）能恰当地回应测试员,50,PEP-3使用册(1).pdf,（170）能恰当地回应测试员,无,"观察：
-儿童是否未察觉到测试员的存
在？
一 儿童是否未能对测试员的声音、眼
神接触、赞赏及微笑作出反应？",社交互动,SR,"2- 对测试员的声音、眼神接触、赞赏及微笑作
出适当反应
1- 稍欠缺社交反应，包括眼神接触；或甚少引
发社交接触，必须由测试员介入才能引发交
往
0- 不察觉到或甚少对测试员作出反应，表现孤
癖，对测试员视而不见，经常需测试员介入
才能引发交往",2/1/0,OCR草稿，需人工校对
171,（171） 对物质奖励有反应,51,PEP-3使用册(1).pdf,（171） 对物质奖励有反应,无,"观察：
-儿童是否对物质奖励（例如：玩
具、书本、糖果、果汁、小吃等）
有兴趣及因物质奖励而增强动机？
- 儿童是否从把玩物件或感官刺激而
获得满足感？",社交互动,SR,"2- 对物质奖励表现出一致及恰当的兴趣和反
应，儿童经奖励后，他们的表现会因此更
佳；或儿童存有内在动机，可以在不期待和
不需要奖励的情况下完成测试
1-对物质奖励的反应前后不一，儿童对测试项
目的兴趣会因奖励而暂时提高，但不持久
0- 不会为物质奖励所吸引，利用食物或儿童喜
欢的物件也不能提升儿童对测试项目的投入",2/1/0,OCR草稿，需人工校对
172,（172）对社交赞赏有反应,51,PEP-3使用册(1).pdf,（172）对社交赞赏有反应,无,"观察：
一儿童对测试员的社交赞赏是否留意
及感兴趣？",社交互动,SR,"2- 享受而且会因社交奖励的鼓励而加强动机
1- 对社交赞赏的反应轻微或前后反应不一
0-对社交赞赏缺乏反应或有负面的反应",2/1/0,OCR草稿，需人工校对
